click_interval_ms,fixed_coordination_ratio,ip_session_count,request_frequency_per_min,mouse_movement_pixesl,tickets_per_person,captcha_bypass_attempts,user_agent_anomaly,api_call_ratio,click_sequence_entropy,session_duration_sec,page_refresh_rate,cart_abandonment_rate,success_rate,keyboard_interval_ms,is_bot
709.087,0.0,3.0,3.197,2013.1822,1.0,1.0,0.0,0.0938,1.7938,359.3243,1.0,0.2157,0.3375,30.0,0
80.0,0.4,2.0,11.198,200.0,2.0,0.0,0.0,0.1519,2.2169,324.4023,1.0,0.1655,0.6436,291.3582,0
774.7679,0.4,2.0,11.6049,438.8985,0.0,0.0,0.0,0.1336,3.5896,306.5172,0.0,0.2042,0.441,243.2455,0
519.9469,0.4,5.0,4.7026,359.9191,1.0,2.0,0.0,0.052,4.8,296.3453,2.0,0.5138,0.4343,184.2236,0
896.8346,0.4727,11.5893,13.0843,3816.5899,2.4137,0.0,0.0,0.0404,2.4642,561.0555,2.0713,0.1543,0.3604,589.4854,0
560.2504,0.0,1.0,5.0743,1866.3458,2.0,1.0,0.0,0.3,2.9117,225.6626,1.0,0.6,0.4542,295.4406,0
454.3635,0.4,0.0,9.2871,3646.6137,1.0,0.0,0.0,0.0612,3.7034,431.1834,1.0,0.1005,0.2443,149.9765,0
527.0297,0.4428,8.8931,8.8487,572.4675,0.7204,0.0,0.0,0.0224,5.4489,500.7183,1.3709,0.1443,0.2667,328.8984,0
132.0789,0.3521,0.0,17.6499,1651.1959,0.0,0.0,0.0,0.0404,1.1303,1051.683,0.7255,0.7204,0.1243,225.3397,0
610.3387,0.4,1.0,9.142,1499.3895,3.0,0.0,0.0,0.0931,2.6473,317.0787,0.0,0.2016,0.2173,227.826,0
411.1864,0.4,5.0,7.4807,2227.9096,3.0,0.0,0.0,0.1162,3.8524,30.0,1.0,0.11,0.3853,360.074,0
339.8128,0.4,2.0,3.782,1895.3979,3.0,3.0,0.0,0.1117,2.898,664.589,1.0,0.6,0.1839,192.6127,0
133.6331,0.4,1.0,13.3117,2649.2466,3.0,0.0,0.0,0.0586,3.0706,334.9171,2.0,0.1559,0.4481,378.7853,0
939.8047,0.2167,5.7205,18.3443,1660.045,0.0,0.0,0.0,0.1192,5.2885,51.3874,1.8871,0.9985,0.1445,10.8027,0
443.659,0.745,0.0,9.6863,2112.5083,3.2322,0.0,0.0,0.0942,3.003,1009.2943,1.4482,0.2827,0.3032,271.4697,0
570.0247,0.4,4.0,9.2266,2558.3994,6.0,2.0,0.0,0.0748,3.4965,284.5513,0.0,0.3333,0.3593,166.7757,0
395.0839,0.576,2.5665,18.7362,4057.9741,3.7033,0.0,0.0,0.1566,2.196,1060.8023,1.2834,0.4929,0.0994,401.0788,0
181.8496,0.4,3.0,4.1658,2129.191,1.0,0.0,0.0,0.0528,2.5904,465.5134,0.0,0.6,0.2683,333.5439,0
549.3224,0.4,2.0,6.9287,1296.4789,4.0,1.0,1.0,0.0171,2.8354,356.3166,0.0,0.4148,0.2247,291.941,1
80.0,0.4,3.0,12.2287,200.0,1.0,0.0,0.0,0.0793,4.2062,30.0,1.0,0.2245,0.2058,151.8508,0
550.9811,0.0,2.0,9.3369,4237.4237,3.0,0.0,0.0,0.0101,3.0235,280.2594,2.0,0.6,0.4632,245.7229,0
459.3892,0.4,3.0,15.1135,2123.0437,1.0,3.0,0.0,0.0296,2.1431,443.4144,0.0,0.1926,0.386,94.9317,0
401.3297,0.4,4.0,1.0,672.8915,3.0,2.0,0.0,0.1884,1.2992,622.489,2.0,0.3423,0.4983,175.2525,0
110.4477,0.4971,5.331,16.9998,153.0372,2.1172,1.1656,0.0,0.1708,1.7663,445.2381,1.863,0.369,1.2248,78.5653,0
905.8829,0.4,2.0,8.5381,4751.8833,2.0,0.0,0.0,0.0746,3.1401,182.3955,2.0,0.1829,0.4415,157.7788,0
236.7545,0.0,6.0,7.9627,2990.4506,1.0,0.0,1.0,0.2726,1.1696,267.205,1.0,0.5313,0.3487,241.4273,0
958.3061,0.4,2.0,6.9084,200.0,3.0,0.0,1.0,0.0922,2.9268,325.7729,0.0,0.4309,0.2035,398.3904,0
655.2341,0.4,1.0,1.0,200.0,1.0,1.0,0.0,0.0949,2.0153,429.9974,0.0,0.4898,0.1688,554.0193,0
933.2175,0.4,1.0,1.0,3795.6333,4.0,0.0,1.0,0.1603,2.7723,558.5348,1.0,0.4986,0.4367,427.1107,0
555.0507,0.4,1.0,10.4882,1408.5659,0.0,1.0,0.0,0.1005,2.8909,216.267,3.0,0.3427,0.5536,488.0606,0
275.8172,0.5037,0.0,12.8504,4348.2549,2.0697,0.0,0.0,0.3575,1.7306,907.6064,0.307,0.3378,0.0803,402.912,0
917.0828,0.0,4.0,6.8482,3458.7841,3.0,1.0,1.0,0.1297,3.5947,544.6492,1.0,0.2453,0.5201,285.258,0
469.777,0.0,4.0,7.393,3181.3393,2.0,0.0,1.0,0.1254,1.5623,569.3706,1.0,0.2051,0.7,452.5601,0
240.6657,0.4,2.0,11.2726,200.0,1.0,1.0,0.0,0.0497,1.491,651.0234,1.0,0.2956,0.5108,541.3075,0
463.5063,0.0754,7.0,7.1393,3494.5508,3.0,1.0,0.0,0.035,1.8721,478.7831,2.0,0.2514,0.6671,470.1713,0
532.8735,0.343,4.0139,15.8305,4238.805,2.6178,0.0,0.0,0.2667,2.7016,125.1711,0.0,1.127,0.1836,336.8125,0
683.3983,0.0,4.0,4.0067,200.0,5.0,2.0,0.0,0.0886,3.6298,303.7055,0.0,0.5072,0.5305,98.71,0
785.2535,0.4,0.0,10.8288,949.9306,1.0,0.0,0.0,0.1453,2.5903,149.1037,0.0,0.5175,0.5618,340.1446,0
528.3801,0.4713,2.3316,13.2241,1622.7425,5.2282,0.0,0.0,0.0788,5.5346,66.6629,2.0222,0.4149,0.1634,96.5669,0
1394.6206,0.0,1.1327,1.2785,2582.265,2.4586,0.0,0.0,0.0419,1.6463,295.1163,0.0,0.3529,0.3984,292.3837,0
707.7577,0.4,3.0,6.1245,2727.3375,3.0,0.0,0.0,0.1935,2.4978,693.4496,5.0,0.5473,0.3764,290.2682,0
461.1775,0.4,2.0,5.599,2417.1222,2.0,1.0,0.0,0.1822,3.0809,446.7596,0.0,0.2975,0.2661,257.9315,0
1638.9207,0.4816,2.8394,11.1987,1121.8597,0.0,0.0,0.0,0.0357,1.8538,243.1726,0.7504,0.6256,0.4481,28.727,1
