avg_response_size,duration_sec,error_rate,get_request_ratio,label,request_count,request_interval_mean_sec,request_interval_std_sec,session_id,unique_paths,unique_status_codes
1875.07,66959.0,0.9102,0.7837,0,245,274.4221,1671.8736,06ivkemfgn93qhl5j0vu96rnl4,219,3
1975.12,72891.0,0.25,0.6875,0,16,4859.4,7120.8164,2lh3e8j6so3e98fpi0v05du393,4,3
1897.79,83048.0,0.9137,0.8118,0,255,326.9606,1910.5871,0uhr32hgcllradm0p6b15371gi,236,3
1548.38,71920.0,0.2718,0.6408,0,103,705.098,2861.838,2dog8ussjb1su485cbk44ch0b3,28,4
1648.34,83471.0,0.1379,0.7586,0,29,2981.1071,3665.3528,ad9scp2lb57iibuqakamfu5hjg,4,4
1288.49,66750.0,0.4324,0.7568,0,37,1854.1667,4265.1904,9bvku70nb705599io3hdlhe0g6,15,4
1025.19,73098.0,0.4167,0.5556,0,36,2088.5143,3276.0594,0pe4qdimjjcomlurpgml7o098t,4,3
1862.81,67321.0,0.9742,0.2621,0,969,69.5465,734.0705,d2gu953a647hob8hnceg6kh73b,817,4
1847.53,73407.0,0.4667,0.7333,0,15,5243.3571,10200.718,cmtn6a23es1vk1v038j2pd0cqa,9,3
849.28,24506.0,0.0784,0.2667,1,255,96.4803,166.1951,97hf7ciplt2k54f5j6109nekn0,2,2
1791.38,76272.0,0.5625,0.875,0,16,5084.8,6271.9218,f8vvptugepi32i09gotgtjb50d,8,3
1311.58,58283.0,0.0286,0.4643,0,140,419.3022,1432.8865,97hf7ciplt2k54f5j6109nekn0,4,3
1229.5,83914.0,0.4394,0.5606,0,66,1290.9846,3435.9147,frtjedek895v147inuk52afh9v,28,4
2128.35,78855.0,0.3462,0.9231,0,26,3154.2,7074.3828,g0tasn4quqqhmjj1cvsj5skoif,14,2
1037.65,84644.0,0.2903,0.7097,0,31,2821.4667,3021.4873,dp87e0dcv2hm9opt9qqkjugi92,4,4
1745.19,82151.0,0.4062,0.8438,0,32,2650.0323,4589.8106,fhob1hm9t3bm6ea9fm9fppec77,15,3
1580.57,79259.0,0.1739,0.7391,0,23,3602.6818,4100.4678,klm20skjqset2im1v8lk31m6hf,3,3
1595.5,71084.0,0.6154,0.8462,0,26,2843.36,4152.0579,ktvnpmoa2vkkhe39b466k5717p,11,3
1287.22,70067.0,0.1622,0.4932,0,148,476.6463,1757.5631,ctv63c2o1vk1lmv4ne945ice99,20,3
1580.95,75768.0,0.3571,0.6429,0,56,1377.6,2574.245,gdgkjv2q26qm9bla312nld988n,17,4
1329.32,76700.0,0.5714,0.6786,0,56,1394.5455,2878.9485,p7g6ccuqqfum0pbfk5q82nhnam,18,4
1004.18,72415.0,0.2687,0.6418,0,67,1097.197,2863.9966,f8mmn03rdoojfjb50ma70ii8pg,25,4
1052.32,75717.0,0.566,0.5849,0,53,1456.0962,2392.215,q9ebqjoa4ni6shhp702u8eg2v2,13,4
1786.31,65087.0,0.3556,0.8,0,45,1479.25,3835.804,r0e98rtqr6192k5b8gl4ndlmha,14,2
908.09,74118.0,0.1394,0.3181,1,459,161.8297,1057.8849,crv8slnnov42i8mci4ppsrou68,17,4
1913.62,84118.0,0.4615,0.8974,0,39,2213.6316,3874.1741,pk9p4i56cb118chl5f5n65had1,22,3
879.12,66860.0,0.4559,0.4706,0,68,997.9104,3251.0895,tloh2a4t9e4njmje1hid5gjgsa,20,4
1090.08,78075.0,0.0982,0.625,0,112,703.3784,2665.1298,108idm26bcno4qf8gqdml2sge3,15,4
939.76,72912.0,0.1121,0.3061,0,428,170.7541,799.0577,g2gh9qmk9krld14h5uojlg7g10,5,3
694.6,47243.0,0.0443,0.5322,1,451,104.9844,128.2551,cs2g8i2bgh2nc7i5eiq23jp9lv,2,2
