accel_abs_mean,avg_speed_px_s,click_count,covered_area_px2,curvature_mean,duration_sec,event_count,interval_std_ms,intevral_mean_ms,label,mouse_move_count,regularity,scroll_amount,session_id,stop_ratio,total_distance_px
464.603009,64.4178,11,792396.0,0.017845,86.5667,5195,0.7314,16.6988,0,5184,0.9562,0,0sejj3er3n0v1sfjv2jbnhaav4,0.0021,5576.43
1409.783104,81.7122,11,541789.0,2e-06,67.45,4048,0.8286,16.708,0,4037,0.9504,0,0ht0u328t4mkgi01sp7mm07e01,0.0027,5511.49
396.208825,64.2272,9,21984.0,0.006109,24.0167,1442,1.2422,16.7598,0,1433,0.9259,0,0ogg5l1i4nh37ek8mjpn8q9fc0,0.007,1542.52
12455.997633,614.288,12,1087010.0,0.000304,266.5,15991,6.705,16.8309,0,15834,0.6016,23484,1r170g6lqfoff21od5nn9f976a,0.0,163707.75
13045.718303,722.8667,8,683064.0,0.000395,117.9333,7077,10.1561,17.0105,0,6933,0.4029,22299,0oa2dua3mli7mrr32c0gd4o0i2,0.0,85250.08
12054.517643,613.9744,12,783240.0,0.000352,204.5167,12272,3.9069,16.7898,0,12182,0.7673,9008,1aqgqrcuurlmvvbbpirvsh7e53,0.0,125567.99
11139.11118,479.8815,11,769652.0,0.000201,113.45,6808,8.6808,17.2496,0,6577,0.4968,38699,0p0kaqfmftrtfg0u12rkshrdi9,0.0,54442.55
812.047309,70.354,15,826418.0,0.000154,101.7333,6105,0.8798,16.7077,0,6089,0.9473,338,0pcr6mashfodserb90cq3p04uf,0.0028,7157.34
634.028892,66.7395,15,226047.0,0.2589,41.6333,2499,1.2479,16.7606,0,2484,0.9255,0,1u41k0lehrsbt97q0pe4knpa6c,0.006,2778.59
1263.98449,78.9331,9,462392.0,8.2e-05,44.8833,2694,1.0657,16.7226,0,2684,0.9363,338,5hv5h86d5hnph965gtsjskmtu0,0.0034,3542.78
530.208637,65.1839,15,330058.0,0.013192,67.8,4069,0.9779,16.7242,0,4054,0.9415,0,6gftqgk6qqkipsecbrvk0mtr5h,0.0037,4419.47
475.896359,63.9179,18,758030.0,0.061912,136.2,8173,0.7602,16.7014,0,8155,0.9545,0,2s8fa1s8oe1rqsf0ddm7m9q7da,0.0023,8705.62
522.744737,64.3802,11,554688.0,0.036029,66.1833,3972,0.8365,16.7088,0,3961,0.9499,0,3qfgfasvf42im2b2pba7hlhvdq,0.003,4260.89
10096.807538,523.011,13,655076.0,0.00026,178.5833,10716,4.2948,16.7842,0,10640,0.7441,4974,4mae49mh8va4g03vjatfn6np9b,0.0,93401.04
9644.273233,507.7548,17,1093022.0,0.000453,271.6833,16302,6.9696,17.0731,0,15913,0.5918,59021,26v7bi8e0oc7p58e3s9v8eic9f,0.0,137948.52
11986.209354,660.436,17,841285.0,0.000321,201.0333,12063,4.6022,16.8794,0,11910,0.7273,15266,7el564n2rvpqj7hl5gn3b8uk8j,0.0,132769.65
684.983209,66.6086,13,417300.0,0.038967,49.5,2971,1.0596,16.7343,0,2958,0.9367,0,77ac9gmq9m61tv68pqdpg1holt,0.0044,3297.12
9633.617469,497.9587,17,1010684.0,0.00051,255.8667,15353,5.3957,16.8811,0,15157,0.6804,20501,49rbuft0lmtfjd3qn70np3lk51,0.0,127411.04
11439.170419,667.7327,9,806536.0,0.000513,137.2667,8237,5.0266,16.8778,0,8133,0.7022,9745,7jbhkuigmbeo5m7ei6h4eefrmk,0.0,91657.45
11574.701169,577.9901,16,933315.0,0.000205,179.6667,10781,2.2919,16.7678,0,10715,0.8633,6588,75ufmqjcbcd722b8qt9sdvphdi,0.0,103845.56
13306.048878,564.6601,14,1089200.0,7.9e-05,190.0167,11402,4.1396,16.8514,0,11277,0.7543,14941,7f2bg9n48opuf4ligvtc1dsopr,0.0001,107294.83
608.665427,66.9568,16,330058.0,0.043417,69.3667,4163,1.0007,16.727,0,4147,0.9402,0,84q2klr0foifmc69684fjvafqa,0.0051,4644.57
12683.334072,545.2192,9,776625.0,4e-05,91.3833,5484,4.2135,16.8667,0,5418,0.7502,7850,9ucesp41db4848uq9h8of7fcgd,0.0,49823.95
416.234141,63.7156,11,771042.0,0.019843,69.8167,4190,0.8144,16.7066,0,4179,0.9513,0,7viehtkjnmi6q1dque68cpudao,0.0026,4448.41
1769.600079,91.5647,18,787612.0,1e-06,87.0,5221,0.9512,16.7211,0,5203,0.9431,0,7onurvslijk8fm97iohvhcoq52,0.0037,7966.13
11816.174883,560.488,11,744992.0,9.9e-05,208.7833,12528,1.6328,16.7067,0,12497,0.9023,471,9ps9ql7hbv7pcbs8mjr50e0rt8,0.0,117020.55
12316.233262,579.6964,14,1101760.0,0.000215,200.3833,12024,6.0543,16.9558,0,11819,0.6429,21632,8h83euesdq85f0shmjm34alpln,0.0,116161.51
655.772604,69.9584,15,778312.0,7.7e-05,101.6667,6101,0.88,16.7078,0,6085,0.9473,338,9cuovso04bhmsmeovv59e513qh,0.0026,7112.43
14682.121058,781.5613,14,1044524.0,0.00042,176.2167,10574,3.5843,16.7873,0,10497,0.7865,1379,8ikvavmgf5jc51c5goirm6gd5i,0.0001,137724.13
791.400102,67.5224,13,398040.0,0.020247,65.7667,3947,0.9192,16.7175,0,3934,0.945,0,b29vltsdmop45jv4bjp64gc73o,0.0025,4440.72
787.89278,69.8415,18,820663.0,0.00014,107.9667,6479,0.9027,16.7157,0,6459,0.946,360,aukl3llmaggljgm2dv21pgl802,0.0026,7540.55
12687.075922,558.4354,14,1079280.0,5.2e-05,133.5167,8012,1.3436,16.7503,0,7971,0.9198,530,ajpjcn74cv2ta0boepifbre3pe,0.0,74560.43
10703.46393,552.6335,16,900528.0,0.000343,298.3167,17900,5.6254,16.8189,0,17737,0.6655,18030,b3avd2j0387kff1fs4hseklo4t,0.0,164859.8
12215.777099,557.1307,18,1018382.0,0.000275,191.9833,11520,8.0873,17.169,0,11183,0.529,99759,cupcde8stlaqucrpahgnsiv0b2,0.0,106959.81
9641.407334,453.6514,14,1090320.0,0.000299,170.6333,10239,1.7761,16.7189,0,10207,0.8938,253,aqn61ppbjkhm8841j1ofqp0u0a,0.0,77408.06
10868.260764,478.6402,8,1033722.0,8.3e-05,157.0167,9422,13.3029,17.3366,0,9057,0.2327,110415,brrlh9tmiodt2ekkjvn7kcsps0,0.0,75154.49
9995.190037,517.9222,15,1114255.0,0.00029,299.5833,17976,7.1152,17.0752,0,17545,0.5833,53090,coom33f4pfor5m2sifo3jphip8,0.0,155160.87
839.46108,66.9688,10,161000.0,0.022735,23.6833,1422,1.3268,16.773,0,1412,0.9209,0,dplgo3sid3ccoh1p28kt7oal82,0.0085,1586.05
963.335146,73.2921,15,450186.0,0.000129,80.2,4813,0.9611,16.7223,0,4796,0.9425,432,f9gd6pgmkcgvpb3lfnmr1rp86k,0.0029,5878.02
579.675497,64.1373,11,180400.0,0.271317,31.2667,1877,1.2171,16.756,0,1866,0.9274,0,f76c77gidobkhj3onqhf4s3n4d,0.0059,2005.36
1229.931632,77.7874,18,836532.0,3e-06,97.45,5848,0.8988,16.7153,0,5830,0.9462,0,dne20ji4gjh7i5k19nueps0biu,0.0033,7580.38
7718.646717,355.4978,11,924490.0,8.3e-05,139.45,8368,2.3373,16.7387,0,8332,0.8604,353,dr09rk5eagjuu87gedvdqmq3gl,0.0,49574.17
10957.662932,482.6173,19,818258.0,0.00034,145.4333,8727,3.4774,16.8267,0,8643,0.7933,3283,eb755astnc2v6cch658lgfrhfh,0.0,70188.65
11982.227969,633.5714,11,803640.0,0.000456,141.8333,8511,6.9298,17.2003,0,8247,0.5971,43164,euj4q1fvb0h7sgca0ngnkb88gs,0.0,89861.54
